scenario,total_reward,steps
Scenario_520,-790.0,2
Scenario_382,735.0,3
Scenario_349,-1938.0,3
Scenario_947,-1031.0,5
Scenario_724,-1651.0,14
Scenario_516,-1181.0,4
Scenario_172,0.0,1
Scenario_340,0.0,1
Scenario_186,-206.0,1
Scenario_971,-1030.0,7
Scenario_529,-35.0,8
Scenario_985,-740.0,1
Scenario_181,-1471.0,8
Scenario_347,128.0,8
Scenario_175,-15.0,5
Scenario_949,920.0,2
Scenario_511,0.0,1
Scenario_723,1558.0,4
Scenario_982,-1010.0,3
Scenario_976,838.0,1
Scenario_378,134.0,5
Scenario_129,-1025.0,6
Scenario_915,-611.0,4
Scenario_572,430.0,1
Scenario_740,1562.0,2
Scenario_324,1514.0,2
Scenario_116,3000.0,3
Scenario_586,-2050.0,11
Scenario_778,1500.0,3
Scenario_912,314.0,2
Scenario_581,-2088.0,12
Scenario_111,0.0,1
Scenario_323,0.0,1
Scenario_747,-1874.0,15
Scenario_575,2114.0,5
Scenario_588,-1015.0,4
Scenario_118,80.0,2
Scenario_924,0.0,1
Scenario_785,812.0,5
Scenario_771,0.0,1
Scenario_543,2000.0,2
Scenario_127,-1652.0,7
Scenario_315,-1129.0,14
Scenario_749,0.0,1
Scenario_923,740.0,8
Scenario_312,908.0,2
Scenario_120,-2157.0,4
Scenario_544,0.0,1
Scenario_776,1990.0,4
Scenario_782,1000.0,1
Scenario_948,-1409.0,9
Scenario_174,3000.0,3
Scenario_346,1904.0,2
Scenario_722,-479.0,11
Scenario_510,1313.0,5
Scenario_180,866.0,2
Scenario_379,-1125.0,12
Scenario_977,-1171.0,7
Scenario_983,895.0,7
Scenario_187,427.0,10
Scenario_517,-971.0,8
Scenario_725,0.0,1
Scenario_341,852.0,3
Scenario_173,-1005.0,2
Scenario_984,783.0,3
Scenario_970,1592.0,2
Scenario_528,0.0,1
Scenario_383,-158.0,4
Scenario_377,-1025.0,6
Scenario_979,-692.0,1
Scenario_145,516.0,3
Scenario_521,-2055.0,12
Scenario_713,1604.0,2
Scenario_946,0.0,1
Scenario_348,18.0,6
Scenario_714,-271.0,6
Scenario_526,0.0,1
Scenario_142,0.0,1
Scenario_370,-1390.0,2
Scenario_384,1000.0,1
Scenario_941,-474.0,12
Scenario_519,583.0,4
Scenario_189,3443.0,5
Scenario_709,-3535.0,13
Scenario_963,-952.0,2
Scenario_997,0.0,1
Scenario_399,715.0,4
Scenario_352,595.0,11
Scenario_160,0.0,1
Scenario_504,0.0,1
Scenario_736,1000.0,1
Scenario_194,-1020.0,5
Scenario_990,0.0,1
Scenario_964,819.0,12
Scenario_158,-92.0,1
Scenario_193,2590.0,4
Scenario_731,3142.0,7
Scenario_503,1000.0,1
Scenario_167,0.0,1
Scenario_355,-583.0,2
Scenario_738,-675.0,12
Scenario_952,-739.0,14
Scenario_999,1946.0,2
Scenario_397,2812.0,4
Scenario_151,106.0,1
Scenario_363,-2036.0,13
Scenario_707,2000.0,2
Scenario_535,0.0,1
Scenario_955,-2143.0,3
Scenario_169,-1035.0,8
Scenario_532,-2618.0,1
Scenario_700,-124.0,2
Scenario_364,68.0,7
Scenario_156,1630.0,4
Scenario_390,-941.0,11
Scenario_754,809.0,5
Scenario_566,-1020.0,5
Scenario_102,977.0,8
Scenario_330,-1030.0,7
Scenario_592,-851.0,4
Scenario_901,-584.0,1
Scenario_559,-1228.0,2
Scenario_595,-770.0,1
Scenario_337,-1004.0,1
Scenario_105,1644.0,3
Scenario_939,516.0,3
Scenario_561,1574.0,2
Scenario_753,-968.0,1
Scenario_798,1184.0,2
Scenario_906,-2030.0,10
Scenario_308,669.0,6
Scenario_791,-1232.0,1
Scenario_557,0.0,1
Scenario_765,-501.0,6
Scenario_301,0.0,1
Scenario_133,0.0,1
Scenario_930,984.0,6
Scenario_568,-2218.0,2
Scenario_134,-100.0,11
Scenario_908,-783.0,10
Scenario_306,-2715.0,9
Scenario_762,-298.0,2
Scenario_550,-242.0,1
Scenario_796,352.0,1
Scenario_339,-1168.0,11
Scenario_937,2781.0,6
Scenario_168,4000.0,4
Scenario_954,-725.0,8
Scenario_391,0.0,1
Scenario_701,-1020.0,5
Scenario_533,-1015.0,4
Scenario_157,0.0,1
Scenario_365,-10.0,4
Scenario_739,-271.0,5
Scenario_953,-595.0,5
Scenario_362,1325.0,5
Scenario_150,631.0,4
Scenario_534,0.0,1
Scenario_706,-772.0,8
Scenario_396,0.0,1
Scenario_998,-550.0,14
Scenario_159,-1030.0,7
Scenario_965,-2055.0,13
Scenario_991,-3055.0,12
Scenario_502,1000.0,1
Scenario_730,0.0,1
Scenario_354,100.0,10
Scenario_166,0.0,1
Scenario_192,0.0,1
Scenario_398,877.0,4
Scenario_996,-290.0,14
Scenario_708,-2040.0,9
Scenario_962,2990.0,5
Scenario_195,992.0,2
Scenario_161,1278.0,3
Scenario_353,604.0,1
Scenario_737,844.0,4
Scenario_505,116.0,7
Scenario_797,-705.0,6
Scenario_307,321.0,6
Scenario_909,-1578.0,9
Scenario_135,912.0,6
Scenario_551,-984.0,6
Scenario_763,-20.0,6
Scenario_1000,548.0,5
Scenario_936,0.0,1
Scenario_338,28.0,1
Scenario_764,1000.0,1
Scenario_556,724.0,1
Scenario_132,1000.0,1
Scenario_300,0.0,1
Scenario_790,553.0,7
Scenario_931,562.0,4
Scenario_569,308.0,2
Scenario_938,-366.0,10
Scenario_104,-287.0,12
Scenario_336,-213.0,9
Scenario_752,21.0,13
Scenario_560,-664.0,2
Scenario_594,-1142.0,1
Scenario_309,2342.0,14
Scenario_907,196.0,13
Scenario_799,463.0,7
Scenario_593,-1713.0,6
Scenario_567,0.0,1
Scenario_755,0.0,1
Scenario_331,-1898.0,1
Scenario_103,934.0,1
Scenario_900,-1146.0,12
Scenario_558,-548.0,10
Scenario_618,-2216.0,5
Scenario_48,69.0,15
Scenario_872,-3420.0,9
Scenario_886,-1030.0,7
Scenario_288,147.0,9
Scenario_243,1019.0,8
Scenario_77,46.0,8
Scenario_415,0.0,1
Scenario_627,-1912.0,2
Scenario_83,-1916.0,1
Scenario_881,0.0,1
Scenario_875,-263.0,12
Scenario_84,406.0,1
Scenario_620,1316.0,11
Scenario_412,-4214.0,1
Scenario_70,0.0,1
Scenario_244,0.0,1
Scenario_629,1983.0,3
Scenario_79,0.0,1
Scenario_843,1000.0,1
Scenario_888,1000.0,1
Scenario_286,-4027.0,14
Scenario_46,-816.0,6
Scenario_272,1000.0,1
Scenario_616,-514.0,8
Scenario_424,-1020.0,5
Scenario_844,-1015.0,4
Scenario_423,0.0,1
Scenario_611,377.0,11
Scenario_275,510.0,6
Scenario_41,760.0,4
Scenario_281,1866.0,3
Scenario_645,-525.0,5
Scenario_477,808.0,4
Scenario_15,184.0,1
Scenario_221,548.0,2
Scenario_483,0.0,1
Scenario_810,916.0,1
Scenario_448,-1332.0,12
Scenario_484,-440.0,1
Scenario_226,0.0,1
Scenario_828,838.0,1
Scenario_12,-828.0,3
Scenario_470,228.0,12
Scenario_642,-1400.0,13
Scenario_689,910.0,1
Scenario_817,-518.0,1
Scenario_219,418.0,1
Scenario_680,1904.0,5
Scenario_446,478.0,1
Scenario_674,-404.0,1
Scenario_210,-1548.0,3
Scenario_24,-1329.0,9
Scenario_821,-1339.0,5
Scenario_479,-890.0,1
Scenario_819,1663.0,7
Scenario_23,-2700.0,3
Scenario_217,2955.0,12
Scenario_673,3000.0,3
Scenario_441,748.0,1
Scenario_687,-1888.0,3
Scenario_228,1335.0,9
Scenario_826,1060.0,7
Scenario_845,-816.0,3
Scenario_280,854.0,8
Scenario_610,768.0,10
Scenario_422,1632.0,3
Scenario_40,0.0,1
Scenario_274,2618.0,5
Scenario_628,-339.0,9
Scenario_842,386.0,2
Scenario_78,1268.0,5
Scenario_273,-1805.0,12
Scenario_47,0.0,1
Scenario_425,-280.0,12
Scenario_617,386.0,2
Scenario_287,8.0,8
Scenario_889,-2040.0,9
Scenario_874,683.0,5
Scenario_880,-1756.0,10
Scenario_413,421.0,7
Scenario_621,1599.0,9
Scenario_245,754.0,1
Scenario_71,15.0,6
Scenario_85,2482.0,4
Scenario_289,-311.0,9
Scenario_887,1995.0,3
Scenario_619,0.0,1
Scenario_873,950.0,12
Scenario_49,599.0,11
Scenario_82,298.0,1
Scenario_76,1000.0,1
Scenario_242,1114.0,4
Scenario_626,-586.0,2
Scenario_414,1244.0,2
Scenario_686,881.0,14
Scenario_216,19.0,4
Scenario_22,-5.0,2
Scenario_818,-2824.0,13
Scenario_440,988.0,1
Scenario_672,778.0,5
Scenario_827,0.0,1
Scenario_229,-676.0,2
Scenario_675,484.0,7
Scenario_447,885.0,9
Scenario_25,345.0,12
Scenario_211,-2722.0,2
Scenario_681,-1646.0,4
Scenario_820,846.0,6
Scenario_478,647.0,2
Scenario_13,2425.0,7
Scenario_829,1745.0,8
Scenario_227,1563.0,12
Scenario_643,0.0,1
Scenario_471,406.0,1
Scenario_485,46.0,1
Scenario_218,-1420.0,14
Scenario_816,2038.0,4
Scenario_688,808.0,1
Scenario_482,-424.0,2
Scenario_476,400.0,1
Scenario_644,-1025.0,6
Scenario_220,1336.0,4
Scenario_14,1948.0,13
Scenario_811,0.0,1
Scenario_449,0.0,1
